id,code,description
peb_catag_detraction_1,001,DEPÓSITO EN CUENTA
peb_catag_detraction_2,002,GIRO
peb_catag_detraction_3,003,TRANSFERENCIA DE FONDOS
peb_catag_detraction_4,004,ORDEN DE PAGO
peb_catag_detraction_5,005,TARJETA DE DÉBITO
peb_catag_detraction_6,006,TARJETA DE CRÉDITO EMITIDA EN EL PAÍS POR UNA EMPRESA DEL SISTEMA FINANCIERO 
peb_catag_detraction_7,007,CHEQUES CON LA CLÁUSULA DE NO NEGOCIABLE, INTRANSFERIBLES, NO A LA ORDEN U OTRA EQUIVALENTE
peb_catag_detraction_8,008,EFECTIVO, POR OPERACIONES EN LAS QUE NO EXISTE OBLIGACIÓN DE UTILIZAR MEDIO DE PAGO
peb_catag_detraction_9,009,EFECTIVO, EN LOS DEMÁS CASOS
peb_catag_detraction_10,010,MEDIOS DE PAGO USADOS EN COMERCIO EXTERIOR 
peb_catag_detraction_11,011,DOCUMENTOS EMITIDOS POR LAS EDPYMES Y LAS COOPERATIVAS DE AHORRO Y CRÉDITO NO AUTORIZADAS A CAPTAR DEPÓSITOS DEL PÚBLICO
peb_catag_detraction_12,012,TARJETA DE CRÉDITO EMITIDA EN EL PAÍS O EN EL EXTERIOR POR UNA EMPRESA NO PERTENECIENTE AL SISTEMA FINANCIERO
peb_catag_detraction_13,013,TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR POR EMPRESAS BANCARIAS O FINANCIERAS NO DOMICILIADAS
peb_catag_detraction_14,101,TRANSFERENCIAS – COMERCIO EXTERIOR
peb_catag_detraction_15,102,CHEQUES BANCARIOS - COMERCIO EXTERIOR
peb_catag_detraction_16,103,ORDEN DE PAGO SIMPLE - COMERCIO EXTERIOR
peb_catag_detraction_17,104,ORDEN DE PAGO DOCUMENTARIO - COMERCIO EXTERIOR
peb_catag_detraction_18,105,REMESA SIMPLE - COMERCIO EXTERIOR
peb_catag_detraction_19,106,REMESA DOCUMENTARIA - COMERCIO EXTERIOR
peb_catag_detraction_20,107,CARTA DE CRÉDITO SIMPLE - COMERCIO EXTERIOR
peb_catag_detraction_21,108,CARTA DE CRÉDITO DOCUMENTARIO - COMERCIO EXTERIOR
peb_catag_detraction_22,999,OTROS MEDIOS DE PAGO
