id,type_catalog,code,description
peb_catag_9_1,3,01,Anulación de la operación
peb_catag_9_2,3,02,Anulación por error en el RUC
peb_catag_9_3,3,03,Corrección por error en la descripción
peb_catag_9_4,3,04,Descuento global
peb_catag_9_5,3,05,Descuento por ítem
peb_catag_9_6,3,06,Devolución total
peb_catag_9_7,3,07,Devolución por ítem
peb_catag_9_8,3,08,Bonificación
peb_catag_9_9,3,09,Disminución en el valor
peb_catag_9_10,3,10,Otros Conceptos
peb_catag_9_11,4,01,Intereses por mora
peb_catag_9_12,4,02,Aumento en el valor
peb_catag_9_13,4,03,Penalidades/ otros conceptos
peb_catag_9_14,3,13,Corrección o modificación del monto neto pendiente de pago y/o la(s) fechas(s) de vencimiento del pago único o de las cuotas y/o los montos correspondientes a cada cuota de ser el caso
